id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
799,06-01-2018,K238,35148,36365,3.4,6,35705,35717,0.03,,04:58.4
801,06-01-2018,K250,35359,36039,1.9,17,35706,35711,0.01,,04:58.4
798,06-01-2018,K237,35151,36277,3.15,12,35715,35719,0.01,,04:58.4
802,06-01-2018,H171,35472,36088,1.72,23,35709,35762,0.15,,15:16.9
807,06-01-2018,H173,35489,36090,1.68,15,35726,35748,0.06,,15:16.9
803,06-01-2018,H175,34048,37025,8.38,46,35738,35772,0.1,,15:16.9
805,06-01-2018,H177,35305,36197,2.5,39,35751,35768,0.05,,15:16.9
804,06-01-2018,H176,35436,36015,1.62,12,35746,35757,0.03,,15:16.9
806,06-01-2018,H174,35395,36143,2.09,47,35701,35759,0.16,,15:16.9
810,07-01-2018,K239,35240,36262,2.86,18,35721,35729,0.02,,46:18.6
809,07-01-2018,K238,35148,36365,3.4,6,35705,35717,0.03,,46:18.6
811,07-01-2018,K250,35359,36039,1.9,17,35706,35711,0.01,,46:18.6
808,07-01-2018,K237,35153,36274,3.14,11,35715,35719,0.01,,46:18.6
814,07-01-2018,K169,34892,36188,3.65,46,35563,35573,0.03,,22:32.1
812,07-01-2018,K120,35071,35929,2.42,43,35527,35542,0.04,,22:32.1
813,07-01-2018,K141,35375,36049,1.89,35,35672,35708,0.1,,22:32.1
817,07-01-2018,K115,35245,35821,1.62,35,35541,35554,0.04,,36:23.5
815,07-01-2018,K121,35313,36254,2.63,23,35717,35734,0.05,,36:23.5
816,07-01-2018,K168,35158,35971,2.29,42,35539,35567,0.08,,36:23.5
818,07-01-2018,K114,35150,36112,2.7,20,35715,35735,0.06,,36:23.5
819,07-01-2018,K171,35205,36143,2.63,45,35714,35737,0.06,,36:23.6
820,07-01-2018,H161,35119,36402,3.59,13,35741,35752,0.03,,39:10.6
821,07-01-2018,H162,35393,36049,1.84,28,35743,35771,0.08,,39:10.6
822,07-01-2018,H163,34970,36473,4.21,55,35721,35754,0.09,,39:10.6
823,07-12-2017,K211,-1,-1,0,-1,-1,-1,0,,
824,07-12-2017,K212,-1,-1,0,-1,-1,-1,0,,
825,07-01-2018,K220,35117,36350,3.45,7,35703,35724,0.06,,36:39.3
826,07-01-2018,K221,35312,36146,2.33,3,35718,35737,0.05,,36:39.3
829,08-01-2018,K239,35242,36259,2.84,19,35719,35727,0.02,,58:44.0
828,08-01-2018,K238,35170,36158,2.77,6,35716,35718,0.01,,58:44.0
830,08-01-2018,K250,35405,36009,1.69,17,35702,35708,0.02,,58:44.1
